"filename", "language", "XML", "Properties", "Java", "comment", "blank", "total"
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\protocol\login\LoginResponse.java", "Java", 0, 0, 27, 0, 5, 32
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\protocol\login\dto\ChatRecordDto.java", "Java", 0, 0, 60, 0, 21, 81
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\protocol\login\dto\ChatTalkDto.java", "Java", 0, 0, 54, 0, 20, 74
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\protocol\login\dto\GroupsDto.java", "Java", 0, 0, 24, 0, 10, 34
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\protocol\login\dto\UserFriendDto.java", "Java", 0, 0, 24, 0, 10, 34
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\protocol\msg\MsgRequest.java", "Java", 0, 0, 22, 0, 5, 27
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\protocol\msg\MsgResponse.java", "Java", 0, 0, 22, 0, 6, 28
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\protocol\talk\DelTalkRequest.java", "Java", 0, 0, 18, 0, 5, 23
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\protocol\talk\TalkNoticeRequest.java", "Java", 0, 0, 18, 0, 4, 22
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\util\SerializationUtil.java", "Java", 0, 0, 45, 13, 9, 67
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\target\maven-archiver\pom.properties", "Properties", 0, 3, 0, 0, 1, 4
"Total", "-", 257, 3, 845, 52, 287, 1444
