"filename", "language", "Batch", "XML", "Properties", "CSS", "Java", "comment", "blank", "total"
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\data\GroupsData.java", "Java", 0, 0, 0, 0, 31, 0, 12, 43
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\data\RemindCount.java", "Java", 0, 0, 0, 0, 15, 0, 8, 23
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\data\TalkBoxData.java", "Java", 0, 0, 0, 0, 39, 0, 14, 53
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\data\TalkData.java", "Java", 0, 0, 0, 0, 22, 0, 11, 33
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\chat_group\ElementInfoBox.java", "Java", 0, 0, 0, 0, 108, 15, 31, 154
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\chat_group\ElementTalk.java", "Java", 0, 0, 0, 0, 111, 14, 33, 158
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\friend_group\ElementCreateGroup.java", "Java", 0, 0, 0, 0, 79, 6, 26, 111
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\friend_group\ElementFriendGroup.java", "Java", 0, 0, 0, 0, 36, 5, 8, 49
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\friend_group\ElementFriendGroupList.java", "Java", 0, 0, 0, 0, 31, 3, 8, 42
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\friend_group\ElementFriendLuck.java", "Java", 0, 0, 0, 0, 67, 7, 18, 92
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\friend_group\ElementFriendLuckUser.java", "Java", 0, 0, 0, 0, 69, 17, 9, 95
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\friend_group\ElementFriendSubscription.java", "Java", 0, 0, 0, 0, 60, 3, 15, 78
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\friend_group\ElementFriendTag.java", "Java", 0, 0, 0, 0, 23, 0, 6, 29
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\friend_group\ElementFriendUser.java", "Java", 0, 0, 0, 0, 35, 3, 7, 45
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\friend_group\ElementFriendUserList.java", "Java", 0, 0, 0, 0, 31, 0, 6, 37
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\friend_group\ElementGroupRequest.java", "Java", 0, 0, 0, 0, 65, 8, 25, 98
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\friend_group\ElementJoinGroup.java", "Java", 0, 0, 0, 0, 68, 7, 17, 92
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\friend_group\ElementJoinGroupItem.java", "Java", 0, 0, 0, 0, 70, 14, 11, 95
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\friend_group\ElementNewFriend.java", "Java", 0, 0, 0, 0, 68, 5, 26, 99
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\friend_group\ElementNewFriendUser.java", "Java", 0, 0, 0, 0, 73, 14, 18, 105
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\element\friend_group\ElementNewGroupRequest.java", "Java", 0, 0, 0, 0, 109, 10, 27, 146
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\util\AutoSizeTool.java", "Java", 0, 0, 0, 0, 39, 1, 15, 55
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\util\CacheUtil.java", "Java", 0, 0, 0, 0, 7, 1, 8, 16
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\util\DateUtil.java", "Java", 0, 0, 0, 0, 26, 0, 9, 35
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\util\Ids.java", "Java", 0, 0, 0, 0, 32, 3, 14, 49
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\view\Chat.java", "Java", 0, 0, 0, 0, 52, 0, 20, 72
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\view\Emotion.java", "Java", 0, 0, 0, 0, 42, 0, 15, 57
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\java\com\lxy\imapp\front\view\Login.java", "Java", 0, 0, 0, 0, 62, 2, 25, 89
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\resources\fxml\chat\chat.fxml", "XML", 0, 113, 0, 0, 0, 11, 17, 141
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-APP\src\main\resources\fxml\chat\css\chat.css", "CSS", 0, 0, 0, 10, 0, 0, 8, 18
