"filename", "language", "XML", "HTML", "Markdown", "Java", "JavaScript", "Less", "CSS", "SCSS", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\protocol\talk\DelTalkRequest.java", "Java", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 7, 11, 47
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\protocol\talk\TalkNoticeRequest.java", "Java", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 7, 13, 56
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\protocol\talk\TalkNoticeResponse.java", "Java", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 7, 17, 69
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\util\SerializationUtil.java", "Java", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 17, 12, 74
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\pom.xml", "XML", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 152
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\Application.java", "Java", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 5, 12, 62
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\application\InetService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 8, 25
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\application\UserService.java", "Java", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 86, 19, 124
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\domain\inet\model\ChannelUserInfo.java", "Java", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 13, 57
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\domain\inet\model\ChannelUserReq.java", "Java", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 8, 31
